line,$c_1$,$c_2$,$f_3$,,$f_4$,,$f_5$,
,,,mean,std_var,mean,std_var,mean,std_var
1,1,1,300,0,400.17,0.059821919,508.7556306,3.749281358
11,1,2,300,4.92E-14,400.12,0.084062437,508.357646,6.076572257
78,1.7,1,300,4.92E-14,401.2,1.07253214,502.3879017,1.134427866
10,1,1.9,300,4.92E-14,400.22,0.134282088,505.9697533,2.814166959
86,1.7,1.8,300,4.02E-14,401.45,0.866316884,505.5717707,1.664884942
,,,,,,,,
line,$c_1$,$c_2$,$f_6$,,$f_7$,,,
,,,mean,std_var,mean,std_var,,
1,1,1,600,2.54E-09,715.0077687,4.485663551,,
11,1,2,600,0,718.1787317,4.485973684,,
78,1.7,1,600,1.14E-13,716.1521181,2.633429099,,
10,1,1.9,600,1.14E-13,716.6993903,4.06142529,,
86,1.7,1.8,600,0,712.1448239,4.589012598,,